iter	Passed	Remaining
435	1576	2039
436	1579	2034
437	1583	2031
438	1586	2026
439	1588	2021
440	1591	2017
441	1593	2012
442	1596	2007
443	1600	2003
444	1604	2000
445	1607	1996
446	1610	1992
447	1614	1989
448	1617	1984
449	1619	1979
450	1622	1974
451	1624	1970
452	1628	1966
453	1630	1961
454	1633	1956
455	1635	1951
456	1638	1946
457	1640	1941
458	1644	1937
459	1647	1933
460	1650	1929
461	1653	1925
462	1655	1920
463	1658	1916
464	1661	1911
465	1664	1907
466	1666	1902
467	1669	1897
468	1671	1892
469	1675	1889
470	1677	1884
471	1680	1879
472	1683	1875
473	1685	1870
474	1688	1865
475	1691	1862
476	1694	1857
477	1696	1853
478	1699	1848
479	1701	1843
480	1704	1839
481	1708	1835
482	1710	1831
483	1713	1826
484	1716	1822
485	1718	1817
486	1721	1813
487	1724	1809
488	1726	1804
489	1729	1800
490	1732	1795
491	1734	1791
492	1738	1787
493	1741	1783
494	1744	1780
495	1747	1775
496	1750	1771
497	1753	1767
498	1758	1765
499	1761	1761
500	1763	1756
501	1766	1752
502	1769	1748
503	1772	1744
504	1774	1739
505	1777	1735
506	1779	1730
507	1782	1726
508	1786	1723
509	1788	1718
510	1791	1714
511	1793	1709
512	1796	1705
513	1799	1701
514	1804	1699
515	1809	1697
516	1812	1693
517	1817	1690
518	1820	1687
519	1823	1683
520	1826	1678
521	1828	1674
522	1831	1670
523	1834	1666
524	1836	1661
525	1839	1657
526	1841	1653
527	1844	1648
528	1848	1645
529	1851	1642
530	1854	1638
531	1857	1633
532	1859	1629
533	1862	1625
534	1865	1621
535	1867	1617
536	1870	1612
537	1872	1608
538	1875	1603
539	1878	1600
540	1881	1595
541	1883	1591
542	1886	1587
543	1888	1583
544	1890	1578
545	1894	1574
546	1896	1570
547	1899	1567
548	1902	1562
549	1904	1558
550	1907	1554
551	1910	1550
552	1913	1546
553	1915	1542
554	1917	1537
555	1920	1533
556	1922	1529
557	1925	1525
558	1927	1520
559	1930	1516
560	1933	1512
561	1935	1508
562	1938	1504
563	1941	1500
564	1944	1497
565	1947	1492
566	1949	1488
567	1952	1484
568	1954	1480
569	1957	1477
570	1961	1473
571	2009	1503
572	2013	1500
573	2016	1496
574	2020	1493
575	2025	1490
576	2029	1487
577	2034	1485
578	2038	1482
579	2058	1490
580	2064	1488
581	2068	1485
582	2073	1482
583	2076	1479
584	2080	1475
585	2084	1472
586	2100	1477
587	2104	1474
588	2108	1470
589	2142	1488
590	2145	1485
591	2148	1480
592	2152	1477
593	2156	1473
594	2159	1469
595	2161	1465
596	2164	1461
597	2167	1456
598	2170	1452
599	2172	1448
600	2175	1444
601	2177	1439
602	2180	1435
603	2183	1431
604	2186	1427
605	2189	1423
606	2191	1418
607	2194	1414
608	2197	1410
609	2202	1408
610	2206	1404
611	2208	1400
612	2211	1396
613	2215	1392
614	2218	1388
615	2222	1385
616	2225	1381
617	2228	1377
618	2232	1374
619	2236	1370
620	2239	1366
621	2241	1362
622	2245	1358
623	2248	1354
624	2250	1350
625	2253	1346
626	2255	1342
627	2258	1337
628	2261	1333
629	2264	1330
630	2268	1326
631	2271	1322
632	2273	1318
633	2277	1314
634	2280	1310
635	2283	1307
636	2287	1303
637	2289	1299
638	2292	1295
639	2296	1291
640	2300	1288
641	2303	1284
642	2308	1281
643	2312	1278
644	2315	1274
645	2318	1270
646	2320	1266
647	2323	1262
648	2326	1258
649	2329	1254
650	2331	1250
651	2334	1245
652	2336	1241
653	2341	1238
654	2345	1235
655	2348	1231
656	2350	1227
657	2354	1223
658	2357	1220
659	2361	1216
660	2363	1212
661	2366	1208
662	2369	1204
663	2372	1200
664	2375	1196
665	2377	1192
666	2380	1188
667	2382	1184
668	2386	1180
669	2388	1176
670	2391	1172
671	2393	1168
672	2396	1164
673	2398	1160
674	2401	1156
675	2404	1152
676	2407	1148
677	2409	1144
678	2412	1140
679	2414	1136
680	2417	1132
681	2421	1129
682	2424	1125
683	2428	1121
684	2430	1117
685	2433	1113
686	2436	1110
687	2439	1106
688	2441	1102
689	2444	1098
690	2446	1094
691	2450	1090
692	2452	1086
693	2455	1082
694	2457	1078
695	2460	1074
696	2462	1070
697	2466	1067
698	2469	1063
699	2472	1059
700	2474	1055
701	2477	1051
702	2480	1047
703	2482	1043
704	2485	1039
705	2487	1035
706	2490	1031
707	2492	1028
708	2494	1024
709	2497	1020
710	2500	1016
711	2503	1012
712	2505	1008
713	2507	1004
714	2510	1000
715	2513	996
716	2516	993
717	2519	989
718	2521	985
719	2524	981
720	2527	978
721	2529	974
722	2532	970
723	2534	966
724	2537	962
725	2539	958
726	2541	954
727	2544	950
728	2547	946
729	2549	943
730	2551	939
731	2554	935
732	2556	931
733	2559	927
734	2562	924
735	2565	920
736	2568	916
737	2570	912
738	2573	908
739	2576	905
740	2579	901
741	2581	897
742	2584	893
743	2586	890
744	2589	886
745	2592	882
746	2595	879
747	2597	875
748	2600	871
749	2602	867
750	2605	863
751	2608	860
752	2611	856
753	2614	853
754	2649	859
755	2660	858
756	2664	855
757	2667	851
758	2669	847
759	2673	844
760	2675	840
761	2677	836
762	2680	832
763	2682	828
764	2685	824
765	2690	821
766	2693	818
767	2695	814
768	2698	810
769	2700	806
770	2705	803
771	2708	799
772	2710	796
773	2713	792
774	2715	788
775	2718	784
776	2721	781
777	2723	777
778	2726	773
779	2728	769
780	2730	765
781	2733	761
782	2735	758
783	2738	754
784	2740	750
785	2742	746
786	2745	742
787	2747	739
788	2751	735
789	2753	732
790	2757	728
791	2761	725
792	2764	721
793	2769	718
794	2772	714
795	2774	711
796	2777	707
797	2780	703
798	2782	700
799	2785	696
800	2787	692
801	2790	688
802	2792	685
803	2795	681
804	2798	677
805	2801	674
806	2805	670
807	2808	667
808	2811	663
809	2814	660
810	2816	656
811	2819	652
812	2821	649
813	2824	645
814	2826	641
815	2829	638
816	2832	634
817	2834	630
818	2836	626
819	2839	623
820	2841	619
821	2845	616
822	2848	612
823	2851	608
824	2853	605
825	2855	601
826	2858	597
827	2861	594
828	2863	590
829	2865	586
830	2868	583
831	2870	579
832	2873	576
833	2875	572
834	2878	568
835	2880	565
836	2883	561
837	2885	557
838	2888	554
839	2891	550
840	2893	547
841	2896	543
842	2898	539
843	2900	536
844	2903	532
845	2906	529
846	2908	525
847	2911	521
848	2913	518
849	2915	514
850	2917	510
851	2919	507
852	2922	503
853	2925	500
854	2927	496
855	2929	492
856	2932	489
857	2934	485
858	2937	482
859	2939	478
860	2941	474
861	2944	471
862	2946	467
863	2948	464
864	2950	460
865	2953	457
866	2956	453
867	2959	450
868	2962	446
869	2964	442
870	2966	439
871	2969	435
872	2971	432
873	2974	428
874	2977	425
875	2979	421
876	2981	418
877	2984	414
878	2987	411
879	2990	407
880	2994	404
881	2997	400
882	3000	397
883	3003	394
884	3006	390
885	3009	387
886	3011	383
887	3013	380
888	3016	376
889	3019	373
890	3021	369
891	3024	366
892	3026	362
893	3028	359
894	3032	355
895	3034	352
896	3037	348
897	3039	345
898	3041	341
899	3044	338
900	3048	334
901	3051	331
902	3054	328
903	3057	324
904	3059	321
905	3061	317
906	3065	314
907	3067	310
908	3070	307
909	3072	303
910	3074	300
911	3077	296
912	3080	293
913	3083	290
914	3085	286
915	3088	283
916	3090	279
917	3093	276
918	3095	272
919	3098	269
920	3101	265
921	3103	262
922	3106	259
923	3108	255
924	3111	252
925	3113	248
926	3116	245
927	3118	241
928	3121	238
929	3123	235
930	3126	231
931	3129	228
932	3131	224
933	3133	221
934	3136	218
935	3138	214
936	3141	211
937	3144	207
938	3147	204
939	3149	201
940	3152	197
941	3154	194
942	3156	190
943	3160	187
944	3163	184
945	3166	180
946	3169	177
947	3171	173
948	3174	170
949	3177	167
950	3179	163
951	3183	160
952	3186	157
953	3190	153
954	3193	150
955	3195	147
956	3198	143
957	3200	140
958	3203	136
959	3206	133
960	3208	130
961	3211	126
962	3213	123
963	3216	120
964	3218	116
965	3222	113
966	3226	110
967	3229	106
968	3232	103
969	3235	100
970	3240	96
971	3243	93
972	3246	90
973	3248	86
974	3251	83
975	3255	80
976	3260	76
977	3263	73
978	3266	70
979	3269	66
980	3272	63
981	3274	60
982	3277	56
983	3279	53
984	3281	49
985	3284	46
986	3287	43
987	3290	39
988	3293	36
989	3295	33
990	3298	29
991	3301	26
992	3304	23
993	3306	19
994	3309	16
995	3311	13
996	3313	9
997	3316	6
998	3319	3
999	3321	0
